"predictor_count","press","pred_rsq","cv_rmse","cv_rsquared","cv_mae","bic","bic_sas","aic","predictors","press_pct_increase","cv_rmse_pct_increase","cv_mae_pct_increase","bic_pct_increase","aic_pct_increase","cv_rsq_pct_decrease","pred_rsq_pct_decrease"
18,148.929601389062,0.92660091434348,0.179667311811576,0.926881719607395,0.133580924043988,-2545.5451109645,-15633.7562762379,-2751.48962913156,"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Popularity",0,0,0,0,0,0,0
1,413.438858899099,0.796239069096861,0.299047353133325,0.797144599390506,0.213030020013452,1984.67924743663,-11103.5319178368,1965.37194885847,"Engine_HP",177.606906244941,66.4450534257162,59.4763784859733,177.966767859975,171.429378764506,13.9971603142462,14.0688232904436
2,301.036325061642,0.851636002494893,0.255280142169242,0.851764325616595,0.192694831992522,527.115343782591,-12561.0958214908,501.372279011709,"Engine_HP  Exotic",102.133304765395,42.0849121608522,44.2532557486035,120.707366037716,118.221848765243,8.1043128159457,8.09031274285991
3,209.806163318482,0.896598255759449,0.213193319989564,0.896926077413717,0.162311586596424,-1133.02466706923,-14221.2358323426,-1165.20349803283,"Engine_HP  Luxury  Exotic",40.8760658469674,18.6600488647306,21.5080579491832,55.4899002893755,57.6519029657183,3.23187323258102,3.23792671900055
4,195.661727473598,0.903569258491334,0.205882128777121,0.903838475879245,0.154503519989649,-1442.9273969912,-14531.1385622646,-1487.97776034024,"Engine_HP  Transmission_Type  Luxury  Exotic",31.3786686116572,14.5907548241373,15.6628621155299,43.3155833390643,45.9210114918774,2.48610402392119,2.48560685572647
5,186.651139318781,0.908010074323932,0.20111261988492,0.908230264049737,0.151389599576041,-1626.38070205021,-14714.5918673236,-1710.04566255558,"Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Exotic",25.32843543385,11.9361211881632,13.3317505171531,36.1087456260409,37.8501868787595,2.01228000974687,2.00634811942963
6,179.146472751675,0.91170870548285,0.197010073686516,0.912010473185888,0.148149122551791,-1810.99453602481,-14899.2057012982,-1901.0952627229,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Exotic",20.2893656336821,9.65270849776392,10.9058973892152,28.8563173277008,30.9066898673744,1.60443842044985,1.60718693777482
7,173.51807653455,0.914482627740053,0.193889384719198,0.914659702352228,0.145301490786553,-1952.35333440262,-15040.564499676,-2048.88982729343,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Diesel  Exotic",16.5101329192794,7.91578209982789,8.77413210489947,23.3031335412916,25.5352516832812,1.31861671199465,1.30782156760691
8,169.178853028004,0.916621188743837,0.191477282800091,0.916822693702627,0.142929810202555,-2040.58554455105,-15128.7967098244,-2162.86510221274,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Luxury  Diesel  Exotic",13.5965257746462,6.57324410847801,6.99866857897132,19.8369914655381,21.3929400527888,1.08525453593246,1.07702522684363
9,163.958293639867,0.919194110997915,0.188507188013229,0.919511761867827,0.140007692188416,-2165.12147657316,-15253.3326418466,-2306.70833281301,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Diesel  Exotic",10.091138437646,4.92013606288285,4.81114215253626,14.9446824867777,16.1651089507805,0.795134652422464,0.799352043680351
